Data_To_Clean
a
an
the
A
An
The
THE
AN
is
was
IS
WAS
ON
with
WITH
for
FOR
this
and
IS
on
Our
our
OUR
This
NAA
of
OF
to
TO
To
This
ALL
ALL
all
Your
These
these
will
Will
by
s
your
that
That
